"SourceTable","IdNo","Active","DatabaseName","ReportCode","ReportFileName","ReportName"
"Report","112","1","IGROUPCLINIC","112","InsuranceSummaryOfAccount","InsuranceSummaryOfAccount"
"Report","176","1","IGROUPCLINIC","129","Invoice List Per Company","Invoice List Per Company New"
"Report","203","1","IGROUPCLINIC","135","Invoice List Per Company New","Invoice List Per Company"
"Report","40","0","IGROUPCLINIC","40","InvoiceSummaryTimeWiseGraph","InvoiceSummaryTimeWiseGraph"
"Report","11","0","IGROUPCLINIC","11","InvStockTransferred","InvStockTransferred"
"Report","12","0","IGROUPCLINIC","12","InvStockTransferred","InvStockTransferred"
"Report","224","0","IGROUPCLINIC","BDRR","Iqama-Baladiya Diagnostic Result Report","Baladiya (Health Card) Diagnostic Result Report"
"Report","16","0","IGROUPCLINIC","16","ItemMovementReportFromOS","ItemMovementReportFromOS"
"Report","15","0","IGROUPCLINIC","15","ItemMovementReportPeriodic","ItemMovementReportPeriodic"
"Report","23","0","IGROUPCLINIC","23","ItemWisePurchaseHistory","ItemWisePurchaseHistory"
"Report","209","1","IGROUPCLINIC","136","Laboratory Clinic Sample Taken List","Laboratory Clinic Sample Taken List (IGroup)"
"Report","228","1","Kizen","101","List of Baladiya Test","List of Health Card (Baladiya) Test (Kizen)"
"Report","229","1","Kizen","219","List of Credit Company Invoices by File Number","List of Credit Company Invoices by File Number (Complete)"
"Report","238","1","Kizen","219","List of Credit Company Invoices by File Number Excluding Returns","List of Credit Company Invoices by File Number Excluding Returns"
"Report","236","1","Kizen","219","List of Credit Company Invoices By Invoice Number","List of Credit Company Invoices By Invoice Number (Complete)"
"Report","239","1","Kizen","219","List of Credit Company Invoices By Invoice Number Excluding Returns","List of Credit Company Invoices By Invoice Number Excluding Returns"
"Report","227","1","Kizen","101","List of Driver License Test","List of Driving License Test (Kizen)"
"Report","231","1","Kizen","101","List of Food Delivery Test","List of Food Delivery Test (Kizen)"
"Report","225","1","Kizen","101","List of Iqama Test","List of Iqama Test (Kizen)"
"Report","89","0","IGROUPCLINIC","89","ListingDetails","ListingDetails"
