"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/IGroup/Reports/Report Backups/PurchaseOrder.rpt","True","6be8cfe4f57c3b3babd0ecdabe34b48354307f5a","15872","PurchaseOrder.rpt","False","","False","False","","5","IGroup/Reports/PurchaseOrder.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/PurchaseReport.rpt","True","b0ed6e595b74a91a3a0d12a861ac6ae4f9872c6d","18944","PurchaseReport.rpt","False","","False","False","","3","Accounts/Reports/IGroup/Reports/Report Backups/PurchaseReport.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/PurchaseReturnReport.rpt","True","f826223228a552add514b908b8f6ed80d4fd3536","18944","PurchaseReturnReport.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/Report Backups/PurchaseReturnReport.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/PurchaseReturnReport1.rpt","True","c7422ba77b26254f39f0ce3e30312062a422f1a1","20480","PurchaseReturnReport1.rpt","False","","False","False","","4","Accounts/Reports/IGroup/Reports/PurchaseReturnReport1.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/PurchaseSummaryReport.rpt","True","f7588cef7e167c4956131e6ca6aaa1504acad222","17408","PurchaseSummaryReport.rpt","False","","False","False","","4","Accounts/Reports/IGroup/Reports/PurchaseSummaryReport.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/RevenueReportDoctorWisePatients.rpt","True","dd668ad79829db8719bf3757291d4f20699d7e50","1167872","RevenueReportDoctorWisePatients.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/Report Backups/RevenueReportDoctorWisePatients.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/SaleProfitabilityDateWise.rpt","True","e873142f9618bda8d425f70bdc65c66ea6e0e01a","19456","SaleProfitabilityDateWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityDateWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/SaleProfitabilityInvoiceWise.rpt","True","5ea7e1600f682c5c70a9b80cd89c199869e7024c","17920","SaleProfitabilityInvoiceWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityInvoiceWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/SaleProfitabilityItemWise.rpt","True","7b0b61799c93f78c76db548885e0ffc2d351d19b","16384","SaleProfitabilityItemWise.rpt","False","","False","False","","5","IGroup/Reports/SaleProfitabilityItemWise.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/StockAdjustment.rpt","True","ef8d9cc85a310b14bb0be7408c911c00febdafea","15872","StockAdjustment.rpt","False","","False","False","","5","IGroup/Reports/StockAdjustment.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/StockRegister.rpt","True","3bc0fecea84994b3fce2f3f56dd789cb43ac8f2e","16384","StockRegister.rpt","False","","False","False","","3","Accounts/Reports/IGroup/Reports/Orig/StockRegister.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/TransferStockItemWiseReport.rpt","True","159f5f074d86572de46ebe6b804a7be2a5e85658","89600","TransferStockItemWiseReport.rpt","False","","False","False","","5","IGroup/Reports/TransferStockItemWiseReport.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/TransferStockReport.rpt","True","96340b0763410709674598af91f065a7a291129e","18432","TransferStockReport.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/Report Backups/TransferStockReport.rpt","Canonical copy retained for exact duplicate group","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/UnpostedPayables.rpt","True","9875b650aa9ac4a32130fb3aff684b846750e28c","14336","UnpostedPayables.rpt","False","","False","False","","5","IGroup/Reports/UnpostedPayables.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/VoucherPrint.rpt","True","b5fccce6780e2d7cb0c27380f358aad975b7c345","43520","VoucherPrint.rpt","False","","False","False","","5","IGroup/Reports/VoucherPrint.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report Backups/XrayPlainReport.rpt","True","f28a4be3d9e484fd9df8d8a6ccd8f6f7831de169","48640","XrayPlainReport.rpt","False","","False","False","","2","Accounts/Reports/IGroup/Reports/Orig/XrayPlainReport.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/Report1.rpt","True","9368683d83c6d2e933c52521c92c3c619ba48c98","57344","Report1.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/IGroup/Reports/Report2.rpt","True","ee5250b12c2fcedb192b3703e021554c3c854079","52736","Report2.rpt","False","","False","False","","2","IGroup/Reports/Report2.rpt","Exact duplicate retained pending filename/path validation","Retain"
"Accounts/Reports/IGroup/Reports/RevenuePosting/Combined Total Income per Company Cost Center.rpt","True","cc01963429ca7758619ecc49a66247f7d2cc5b96","54784","Combined Total Income per Company Cost Center.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
