"Path","BlobHash","SizeBytes","DuplicateCount","CanonicalPath","Classification","ProposedAction","ProjectIncluded","TextReferenced"
"Accounts/Reports/IGroup/Reports/Backup/MOH IB Report.rpt","059f1f88c806d8f2a8d9f05246bc1d670f5d2141","606720","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/MOH Report.rpt","55f4dc6e2d258064e9113809e312693246d1ca94","610816","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/PharmacyDailySalesInvoice (2).rpt","b6bd96843b80a9d8c9bc994f3fc27df5d0c62f58","53760","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/PharmacyDailySalesInvoice.rpt","13152079b7dcb661b29cc45356d0da55e30dfa72","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/PharmacyDailySalesInvoiceSummary.rpt","42ac87f4f1b3b4178f31bb9317ccb4a6d08d2ce2","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/RevenueReportDoctorWiseCombined.rpt","d5e1e119bc60ea2b284edcf25975baff7d34b850","56832","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/RevenueReportDoctorWisePatientsOrig.rpt","401e3f76a4ee6cae0f492f3b4f814cde0dd7c467","56832","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/Stock Consumption.rpt","70a01f2693c67b1b5e2bf5d557574493209c2bc3","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/StockRegister (2).rpt","fe16325ca2caa4174112ce7b96aa8240ef0de189","50688","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/SupplierWisePurchaseHistory.rpt","c110ace83cd237d070d47ab321b482bcf1a8f043","49152","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/test.rpt","c29e3de9156b837b49166b9ffd68c17e5f4d13af","16896","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Trial/1CombinedDetailedStatementDateWise.rpt","28fd3f4d6d2584c3e7b77c9c216e4e7f79b01ffb","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Trial/1CombinedSummaryStatementDateWise.rpt","fa4343244b11df42df807128020ad9ef93687788","52224","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Trial/trial.rpt","db9301314c2c0b85e806861f1dcecca026ed52b7","54784","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Lab Barcode/BarcodeLabSamplePrintingOriginal.rpt","7449983bd04af0c65721a338b4e6a56fc086c5b8","17408","2","Accounts/Reports/IGroup/Reports/BarcodeLabSamplePrinting.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/PMR Doctors Form - Copy.rpt","eb3395b0b65593eeac51d6926730e41897a35203","143872","2","Accounts/Reports/IGroup/PMR Doctors Form With Printed Details.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccBalanceSheet.rpt","43432b86b74c9d3c9460cd2644a3071050ad5de3","49664","3","IGroup/Reports/AccBalanceSheet.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsGroupList (2).rpt","abef2dce3ea86b27292d8243b26ad7e44c190421","48128","5","IGroup/Reports/AccountsGroupList.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsGroupList.rpt","abef2dce3ea86b27292d8243b26ad7e44c190421","48128","5","IGroup/Reports/AccountsGroupList.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsIncomeExpenses.rpt","906414ec8f6871d63bfa5b60be48a16769ddea41","49152","3","IGroup/Reports/AccountsIncomeExpenses.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsJournal (2).rpt","df669bf9b09bf9e04e840ef17f25c31f868080ff","48128","5","IGroup/Reports/AccountsJournal.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsJournal.rpt","df669bf9b09bf9e04e840ef17f25c31f868080ff","48128","5","IGroup/Reports/AccountsJournal.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsLedger (2).rpt","525ebe75c77839d8d1e1288cd9dbbae3f9d94ddf","49152","5","IGroup/Reports/AccountsLedger.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsLedger.rpt","525ebe75c77839d8d1e1288cd9dbbae3f9d94ddf","49152","5","IGroup/Reports/AccountsLedger.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsLedgerSummary.rpt","8ca6d3d7c392f4bad56df42d194f20509207fa02","1162240","3","IGroup/Reports/AccountsLedgerSummary.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsOpeningBalance (2).rpt","be70947add48649cf9c13d97ba4b722dc5880b3a","48128","5","IGroup/Reports/AccountsOpeningBalance.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsOpeningBalance.rpt","be70947add48649cf9c13d97ba4b722dc5880b3a","48128","5","IGroup/Reports/AccountsOpeningBalance.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsPnL.rpt","0c582bcd990ab7df138840534427e580669921fc","48128","3","IGroup/Reports/AccountsPnL.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsVoucherType (2).rpt","f6ed868bbd67746f96e7b6b4533d2ad23e3a100e","47616","5","IGroup/Reports/AccountsVoucherType.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AccountsVoucherType.rpt","f6ed868bbd67746f96e7b6b4533d2ad23e3a100e","47616","5","IGroup/Reports/AccountsVoucherType.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ACCTrialBalanceNew (2).rpt","3a12390b748d7626c7c22d39b3fc4b446836610a","51200","5","IGroup/Reports/ACCTrialBalanceNew.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ACCTrialBalanceNew.rpt","3a12390b748d7626c7c22d39b3fc4b446836610a","51200","5","IGroup/Reports/ACCTrialBalanceNew.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/AgeingSummary.rpt","a2b4738a5d313002157d0cb4b10cedfde0e51343","49152","3","IGroup/Reports/AgeingSummary.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BarcodePharmacy (2).rpt","5d427795592057000501de7fd02666ad73491a00","15872","3","Accounts/Reports/IGroup/Reports/Report Backups/BarcodePharmacy.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BarcodePharmacy2 (2).rpt","94f317c5bda70931f64cb4e18fea4e2d9f5829d7","13312","3","Accounts/Reports/IGroup/Reports/Report Backups/BarcodePharmacy2.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BarcodePharmacy2.rpt","94f317c5bda70931f64cb4e18fea4e2d9f5829d7","13312","3","Accounts/Reports/IGroup/Reports/Report Backups/BarcodePharmacy2.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BarcodePharmacy3 (2).rpt","4372e2e5ded17e0d59046b3a373a3341aae55f5f","13312","3","Accounts/Reports/IGroup/Reports/Report Backups/BarcodePharmacy3.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BarcodePharmacy3.rpt","4372e2e5ded17e0d59046b3a373a3341aae55f5f","13312","3","Accounts/Reports/IGroup/Reports/Report Backups/BarcodePharmacy3.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BestInventoryReport (2).rpt","e303e0c0b871a317642aad49cdba5a1b18561220","15872","3","IGroup/Reports/BestInventoryReport.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BestInventoryReport.rpt","5aca878ff9b0afb5390f09a3f23a425964051528","14848","2","Accounts/Reports/IGroup/Reports/Report Backups/BestInventoryReport.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BestQtySoldPieGraph (2).rpt","785c25c14ffa07e447a546819bfbc1592ee64f95","57856","5","IGroup/Reports/BestQtySoldPieGraph.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/BestQtySoldPieGraph.rpt","785c25c14ffa07e447a546819bfbc1592ee64f95","57856","5","IGroup/Reports/BestQtySoldPieGraph.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint - Orig (2).rpt","13482fe3afd8387c33c1deb55e2d22aae9fdb36b","14848","5","Accounts/Reports/IGroup/Reports/ClinicBillPrint - Orig.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint - Orig.rpt","13482fe3afd8387c33c1deb55e2d22aae9fdb36b","14848","5","Accounts/Reports/IGroup/Reports/ClinicBillPrint - Orig.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint (2).rpt","3d49b76efd68bd5e36794e32f480d989a9f3c1bc","16896","2","Accounts/Reports/IGroup/Reports/ClinicBillPrintOldInvoice.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint.rpt","bcc8be23da80b56b705d3b453ac184f4647160b0","14848","5","IGroup/Reports/Mine/ClinicBillPrint.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint1 (2).rpt","78939beae2a49372eda970867d6fe53abd949b7c","14336","4","Accounts/Reports/IGroup/Reports/ClinicBillPrint1.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint1.rpt","78939beae2a49372eda970867d6fe53abd949b7c","14336","4","Accounts/Reports/IGroup/Reports/ClinicBillPrint1.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint2 (2).rpt","8850d9a03354674d58caf5bcc9c83faf95ff65a3","14336","3","Accounts/Reports/IGroup/Reports/Report Backups/ClinicBillPrint2.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint2.rpt","8850d9a03354674d58caf5bcc9c83faf95ff65a3","14336","3","Accounts/Reports/IGroup/Reports/Report Backups/ClinicBillPrint2.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint22222.rpt","0492a0fcaef810d388559b7981a749b4f7dab37f","16384","4","Accounts/Reports/IGroup/Reports/ClinicBillPrintOk.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrint4.rpt","bcc8be23da80b56b705d3b453ac184f4647160b0","14848","5","IGroup/Reports/Mine/ClinicBillPrint.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintNewer.rpt","766d9d8f4df9ad87cb300a07f517b63b9855144b","16384","2","Accounts/Reports/IGroup/Reports/ClinicBillPrintNewer.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintOk.rpt","0492a0fcaef810d388559b7981a749b4f7dab37f","16384","4","Accounts/Reports/IGroup/Reports/ClinicBillPrintOk.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintoK3.rpt","3c355b6abb931b669e7170f219e213b4cbc27b5e","16384","2","Accounts/Reports/IGroup/Reports/ClinicBillPrintoK3.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintOld.rpt","0e262cb2b0083f61c15b793ab89d6caa2557c63e","16384","5","IGroup/Reports/ClinicBillPrintxxxx.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicBillPrintx (2).rpt","91c7077b92980bd5d4bbd3438bff4042ed1b8f37","14848","6","IGroup/Reports/ClinicBillPrintx.rpt","Unreferenced exact duplicate with archive-style name/path","QuarantineExactDuplicate","False","False"
